Country/Region,Province/State,Mapping Key,Mapping location
Netherlands,Sint Maarten,NetherlandsSint Maarten,Sint Maarten (Dutch part)
Netherlands,,Netherlands,Netherlands
New Zealand,,New Zealand,New Zealand
Nicaragua,,Nicaragua,Nicaragua
Niger,,Niger,Niger
Nigeria,,Nigeria,Nigeria
North Macedonia,,North Macedonia,Macedonia
Norway,,Norway,Norway
Oman,,Oman,Oman
Pakistan,,Pakistan,Pakistan
Panama,,Panama,Panama
Papua New Guinea,,Papua New Guinea,Papua New Guinea
Paraguay,,Paraguay,Paraguay
Peru,,Peru,Peru
Philippines,,Philippines,Philippines
Poland,,Poland,Poland
Portugal,,Portugal,Portugal
Qatar,,Qatar,Qatar
Romania,,Romania,Romania
Russia,,Russia,Russia
Rwanda,,Rwanda,Rwanda
Saint Kitts and Nevis,,Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,,Saint Lucia,Saint Lucia
Saint Vincent and the Grenadines,,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
San Marino,,San Marino,San Marino
Saudi Arabia,,Saudi Arabia,Saudi Arabia
Senegal,,Senegal,Senegal
Serbia,,Serbia,Serbia
Seychelles,,Seychelles,Seychelles
Singapore,,Singapore,Singapore
Slovakia,,Slovakia,Slovakia
Slovenia,,Slovenia,Slovenia
Somalia,,Somalia,Somalia
South Africa,,South Africa,South Africa
Spain,,Spain,Spain
Sri Lanka,,Sri Lanka,Sri Lanka
Sudan,,Sudan,Sudan
Suriname,,Suriname,Suriname
Sweden,,Sweden,Sweden
Switzerland,,Switzerland,Switzerland
Syria,,Syria,Syria
Taiwan*,,Taiwan*,Taiwan
Tanzania,,Tanzania,Tanzania
Thailand,,Thailand,Thailand
Timor-Leste,,Timor-Leste,Timor
Togo,,Togo,Togo
Trinidad and Tobago,,Trinidad and Tobago,Trinidad and Tobago
Tunisia,,Tunisia,Tunisia
Turkey,,Turkey,Turkey
Uganda,,Uganda,Uganda
Ukraine,,Ukraine,Ukraine
United Arab Emirates,,United Arab Emirates,United Arab Emirates
United Kingdom,Bermuda,United KingdomBermuda,Bermuda
United Kingdom,Cayman Islands,United KingdomCayman Islands,Cayman Islands
United Kingdom,Channel Islands,United KingdomChannel Islands,United Kingdom
United Kingdom,Gibraltar,United KingdomGibraltar,Gibraltar
United Kingdom,Isle of Man,United KingdomIsle of Man,Isle of Man
United Kingdom,Montserrat,United KingdomMontserrat,Montserrat
United Kingdom,,United Kingdom,United Kingdom
Uruguay,,Uruguay,Uruguay
US,,US,United States
Uzbekistan,,Uzbekistan,Uzbekistan
Venezuela,,Venezuela,Venezuela
Vietnam,,Vietnam,Vietnam
Zambia,,Zambia,Zambia
Zimbabwe,,Zimbabwe,Zimbabwe
West Bank and Gaza,,West Bank and Gaza,Palestine
Laos,,Laos,Laos
Kosovo,,Kosovo,Kosovo
Burma,,Burma,Myanmar
United Kingdom,Anguilla,United KingdomAnguilla,Anguilla
United Kingdom,British Virgin Islands,United KingdomBritish Virgin Islands,British Virgin Islands
United Kingdom,Turks and Caicos Islands,United KingdomTurks and Caicos Islands,Turks and Caicos Islands
MS Zaandam,,MS Zaandam,MS Zaandam
Botswana,,Botswana,Botswana
Burundi,,Burundi,Burundi
Sierra Leone,,Sierra Leone,Sierra Leone
Netherlands,"Bonaire, Sint Eustatius and Saba","NetherlandsBonaire, Sint Eustatius and Saba",Bonaire Sint Eustatius and Saba
Malawi,,Malawi,Malawi
United Kingdom,Falkland Islands (Malvinas),United KingdomFalkland Islands (Malvinas),Falkland Islands
France,Saint Pierre and Miquelon,FranceSaint Pierre and Miquelon,France
South Sudan,,South Sudan,South Sudan
Western Sahara,,Western Sahara,Western Sahara
Sao Tome and Principe,,Sao Tome and Principe,Sao Tome and Principe
Yemen,,Yemen,Yemen
Comoros,,Comoros,Comoros
Tajikistan,,Tajikistan,Tajikistan
Lesotho,,Lesotho,Lesotho
World,,World,World
Canada,Alberta,CanadaAlberta,Canada
Canada,British Columbia,CanadaBritish Columbia,Canada
Canada,Grand Princess,CanadaGrand Princess,Canada
Canada,Manitoba,CanadaManitoba,Canada
Canada,New Brunswick,CanadaNew Brunswick,Canada
Canada,Newfoundland and Labrador,CanadaNewfoundland and Labrador,Canada
Canada,Nova Scotia,CanadaNova Scotia,Canada
Canada,Ontario,CanadaOntario,Canada
Canada,Prince Edward Island,CanadaPrince Edward Island,Canada
Canada,Quebec,CanadaQuebec,Canada
Canada,Saskatchewan,CanadaSaskatchewan,Canada
Canada,Diamond Princess,CanadaDiamond Princess,Canada
Canada,Northwest Territories,CanadaNorthwest Territories,Canada
Canada,Yukon,CanadaYukon,Canada
